Three Names to Keep in Your Pocket	No window needed for this one, which on a morning like this is just as well.
Elliðaárdalur	The valley looks its best wet. That river is the reason anything in this city is green.
Mount Esja	If Esja has gone, you are getting the honest version. Locals judge the whole day by how much of it they can see.
Kjalarnesþing	Nothing to see even on a clear day — it is a field. The story is the thing, not the view.
Mosfellsbær	Low cloud suits this valley. Half the music that came out of it sounds like this weather.
Mosfellsdalur	If the valley has closed in, so much the better. Laxness wrote most of it looking at exactly this.
Laxnes Horse Farm	The horses do not mind, and they will be out in it. They were bred for days like this.
Gljúfrasteinn	A white house in grey rain is very Icelandic literature. He would have approved.
The Norse Expansion (793–1066 CE)	Nothing out of the window for this one. Shut your eyes and picture open sea instead.
Landnám	No view required. This is the chapter you listen to rather than look at.
Almannagjá	Rain in the rift is normal. The wall does not care, and neither did the men who argued under it.
Lögberg & the Alþingi	They met here for two weeks every summer in whatever the sky was doing. So can we.
Kristnitaka	Þorgeir lay under a fur cloak for a day and a night. In this, you can see why.
Þingvallabær & Skáldareitur	The white church against a grey sky is the photograph everybody takes anyway.
Öxarárfoss, Drekkingarhylur & Peningagjá	Rain makes the falls louder and the pool darker. Neither improves the story of this place.
Þingvallavatn & Silfra	If the far shore has gone, that is the rift you cannot see across — which is rather the point.
17 June 1944	It poured on the day itself. Thousands stood in it anyway.
The Cave People	Low cloud is the right weather for this. They lived in a cave because of days like this.
Hekla	Hekla is out sixty kilometres and hides most days. Medieval Europe thought that was deliberate.
Laugarvatn & Apavatn	Steam shows better in the cold. If the lake has gone grey, look for where it is smoking.
Brúará	Rivers do not need good weather. This one is loudest when the sky is worst.
The Sturlung Age	No view for this one — it is thirteenth-century politics, and it is grim enough without the rain.
Haukadalur	Steam and low cloud look identical from here. Both mean the ground is warm.
Geysir	Wind decides which way you get soaked. Stand upwind of Strokkur and watch everyone else learn that.
Hvítá & Gullfoss	Rain makes it bigger, spray makes it wetter, and the rainbow needs sun. Two out of three today.
Tungufljót	A working river in working weather. It does not stop for either of us.
Reykholt & Friðheimar	The greenhouses do not care what the sky is doing. That is the entire business model.
Icelandic Horses	They will be standing in it, tails to the wind, entirely unbothered. Take the lesson.
Skálholt	Grey and windswept is how this place looked for most of its eight hundred years.
Grímsnes & Kerið	The crater water goes a deeper green under cloud, so this is not the day to feel short-changed.
Sog River	Spring-fed, so it looks the same today as it did in the sunshine last week.
Langjökull	If the ice cap has gone into the cloud, that is normal. It makes its own weather up there.
Gamla Laugin	You are getting in the water anyway. The forecast stops mattering at the changing rooms.
Ölfusá Intro	Rain makes it bigger. Everything I am about to tell you about this river is more true today.
Rútshellir	The cave is cut into the cliff, so it is there whatever the sky is doing.
Laufskálavarða	The cairns show better against low cloud than they do in sunshine, oddly.
Eldhraun	Moss in the wet goes an unreasonable green. This is the lava field at its best, not its worst.
Kirkjubæjarklaustur	The sisters were here through eight hundred winters of exactly this.
Fjaðrárgljúfur	You cannot see it from the road on any day. It is hidden in that ridge, which is why it stayed a secret so long.
Foss á Síðu	Wind blows this one sideways, and in a real gale it goes back up the cliff. Worth watching for.
Orustuhóll	A lone crag in flat light is hard to pick out. Look for the shape, not the colour.
Lómagnúpur & Núpsstaður	If the top has gone, you are still seeing seven hundred metres of it. That is usually enough.
Skeiðarársandur	Grey sky over black sand is the default here, and it is genuinely the emptiest view in Iceland.
Skaftafell & Vatnajökull	The tongues sit low, so you often get them when the peaks have gone.
Fjallsárlón	The ice looks bluer under cloud. Bright sun actually washes it out.
Jökulsárlón	Cloud makes the blue stronger. The photographs everyone envies were mostly taken in weather like this.
Fellsfjara	Rain on black sand and clear ice is the whole point. Wet feet, better pictures.
Kjalarnes	Esja above it decides the visibility. If the mountain has gone, so has the headland.
Hvalfjörður Tunnel	Nothing to see in here whatever the weather, which is why I am talking.
Hvalfjörður	If the fjord has gone in the murk, you have still driven under it, which is the more impressive fact.
Akrafjall	A free-standing mountain is the first thing the cloud takes. It will be back.
Borgarfjarðarbrú	The bridge works in any weather. That was rather the argument for building it.
Borgarnes	Grey and windy is Borgarnes most days. The saga written here is not a cheerful one either.
Iceland's First Rift Zone	If the peninsula has gone into cloud, you are looking at the rift anyway — you just cannot see the edges of it.
Hítardalur & Ljósufjöll	Ridges in flat light lose their shape. Look for the skyline rather than the detail.
Eldborg	A low ring in low cloud is hard work. If it has gone, it is a crater the shape of a wedding ring.
Gerðuberg	Columns show best in flat light, which is what we have. This one is improved by bad weather.
Fossá	The fall is below the road, so the cloud has to come down a long way to take it.
Selvallavatn	The lake sits in a hollow and holds mist. If it looks like it is steaming, it is not.
Fróðá	A haunted farm in driving rain is arguably the correct way to meet this story.
Ólafsvík	A working fishing town does not close for weather. Neither does the harbour.
Björn the Rich	Rif is flat and low, so it goes early in the murk. It is the point sticking out to the right.
The Tern Capital	In wind the terns hang almost motionless. They are the easiest thing to see out there today.
Hellissandur, Ingjaldshóll & the Columbus Story	The church sits high on its mound, so it usually survives the cloud when the village has gone.
Saxhóll	The black stair is the giveaway. Look for the line of steps, not the cone.
Djúpalónssandur & Dritvík	Wet black pebbles are the best they ever look. Mind your footing on the way down.
Malarrif & Vatnshellir	The lighthouse is white and it is meant to be seen in this. That is its job.
Lóndrangar	Two dark pinnacles against grey sea and grey sky is a harder picture, but it is a better one.
Snæfellsjökull	The glacier shows about a third of the days in the year. If it is out, say so loudly.
Guðríður Þorbjarnardóttir	She crossed the Atlantic eight times in open boats. Today's weather is not the headline.
Bárðarlaug	The pond hides until you are on the rim, so the cloud makes no difference to this one.
The Arnarstapi Cliffs	Rough sea makes the blowhole work properly. Bad weather is the good version here.
The Bárður Statue	Stone troll, stone sky. He looks better in this than in sunshine.
The Governor's House That Left	The harbour is the story and it is right in front of you, weather or not.
Stapafell & Rauðfeldsgjá	The cleft is a dark line in the mountain wall — easier to find in flat light than in shadow.
Axlar-Björn	No view for this one. It is a story, and it is a horrible one, so mind the children.
Búðir	A black church on black lava under a grey sky. There is no bad-weather version of this.
Löngufjörur	Pale sand stays pale. It is one of the few things out here the cloud cannot take.
